,oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
0,SUBS126-0782,0,-14.13610003005233,-0.8416748654983223,0.0,1.512699385617088,6.338316887285964,0.0,-1.541987436993443,-8.668746059640398,-40.0
1,SUBS126-0385,0,-13.24289359023314,0.1058079622117907,0.0,1.04345207506658,3.328602635663628,0.0,-0.1243520805193384,-8.889382997810571,-42.0
2,SUBS126-0625,0,-13.06615078544965,-1.213718408675474,0.0,2.103215927489691,6.677727299051003,0.0,-2.500941483344622,-7.999867450928377,-37.0
3,SUBS126-0394,0,-18.67572009161449,-0.576930126756572,0.0,4.546060566386496,8.841862129682886,0.0,-2.735666931922184,-8.600394454223988,-41.0
4,SUBS126-0496,0,-20.22926810948339,-0.2098352445856267,0.0,4.418981351840557,9.006776277093467,0.0,-1.747551304343137,-8.760897029477746,-42.0
5,SUBS126-0504,0,-17.81844179697146,-0.5423750693314116,0.0,2.165874372181134,7.566660845455226,0.0,-2.28502913322195,-10.91331078188841,-38.0
6,SUBS126-0488,0,-14.47115160664034,0.3359937810961685,0.0,1.507594037844774,4.043994197491247,0.0,-0.0426990666863687,-8.626268656894808,-39.0
7,SUBS126-0796,0,-13.63070140350137,-0.7653208036610749,0.0,1.354298279193881,5.948588826070591,0.0,-1.081203678027772,-8.174338779926074,-39.0
8,SUBS126-0453,0,-17.1766905829667,-0.5248992604901673,0.0,1.888386793613336,7.607185404359006,0.0,-1.814360432115076,-10.02037807759962,-42.0
9,SUBS126-0459,0,-19.30955778296811,-0.1129781509612246,0.0,4.346351590825271,7.860294045524096,0.0,-0.8516435058243502,-8.06753380340433,-42.0
10,SUBS126-0999,0,-12.46307927381204,-0.2207911792629295,0.0,0.6568008223723155,5.247263493890569,0.0,-1.237398110158169,-8.017204246969868,-35.0
11,SUBS126-0452,0,-12.47091021353735,0.1440078847873838,0.0,0.9818323662308104,2.234038235821299,0.0,-0.095325091207929,-9.206356817905544,-42.0
12,SUBS126-0523,0,-15.0470924596073,-1.276868367108622,0.0,4.030141862338678,6.993107185194821,0.0,-2.487841439986872,-7.788553219168989,-40.0
13,SUBS126-0703,0,-9.30115619765056,-1.230059760924222,0.0,0.3582507312036796,4.764641387556185,0.0,-2.545755038965984,-7.95407887878082,-40.0
14,SUBS126-0152,0,-11.42097563280477,-1.273428712681722,0.0,2.138284767637742,4.857596828721398,0.0,-3.324106414426407,-9.022629163553574,-35.0
15,SUBS126-0155,0,-9.604268582249643,-1.1866839365244,0.0,0.9331802332084408,5.399639398384079,0.0,-3.373403121029983,-7.83153600821106,-33.0
16,SUBS126-0544,0,-11.0901003377825,0.10906709248683,0.0,1.119045510634715,1.491585837306593,0.0,-0.0962561505981348,-8.466658047952023,-41.0
17,SUBS126-0630,0,-17.52093048810166,-0.7137527065931419,0.0,4.337871412940695,6.728390701274566,0.0,-2.925889103450646,-10.09431018392979,-40.0
18,SUBS126-0698,0,-11.88053869406831,-1.491344856057539,0.0,0.961367820479154,7.017718706640608,0.0,-3.112316839368526,-8.505113862374856,-41.0
19,SUBS126-0779,0,-11.42665188019746,-1.448173704425575,0.0,1.282863086586622,4.972529436503919,0.0,-2.802340560245029,-9.421773621777447,-38.0
20,SUBS126-0130,0,-15.64523174733186,-0.1805220708363026,0.0,1.847090544431194,6.221819031196719,0.0,-1.392224828071422,-9.149069070610947,-40.0
21,SUBS126-0185,0,-16.99151622996505,-1.031412547382636,0.0,1.881302251608304,7.998948562678105,0.0,-3.256062517310411,-11.398740480372,-39.0
22,SUBS126-0531,0,-10.49939120837116,-1.193958760989543,0.0,1.362801982980818,4.267114530070921,0.0,-1.99286525587032,-8.056298712178886,-34.0
23,SUBS126-0876,0,-10.33580175758143,-1.058003633945344,0.0,0.9488431483744536,4.449418842171053,0.0,-1.787161888383147,-7.782705289364003,-42.0
24,SUBS126-0874,0,-13.3870948090298,0.1059384770756526,0.0,1.108546764126004,3.151471543542993,0.0,-0.1053004257760023,-9.12643845006096,-42.0
25,SUBS126-0472,0,-18.16081843420361,-0.6736594862660433,0.0,4.605489146779838,9.1043474557071,-0.0235325554709248,-3.74766337261638,-8.895837246069732,-41.0
26,SUBS126-0833,0,-17.90573392411607,-0.1760297838081283,0.0,3.70199516166017,8.198755336539671,0.0,-1.844213653800997,-8.02522686352495,-42.0
27,SUBS126-0771,0,-13.71165185768186,-0.9207981180306616,0.0,2.193035182290623,6.415238938380571,-0.6298231029491469,-1.558825984969204,-8.212824942959287,-40.0
28,SUBS126-0393,0,-14.99871558941159,-0.17013230388387,0.0,1.544253718665823,5.94657164117907,0.0,-1.56749137516878,-9.245513908619614,-38.0
29,SUBS126-0594,0,-17.44093372738462,-0.1152098562293202,0.0,2.925198570540442,6.424046773268674,0.0,-0.1462281150735663,-8.353126354877986,-42.0
30,SUBS126-0067,0,-11.32278655873633,-1.23993059530392,0.0,1.282072883769433,6.022225230605636,0.0,-2.594502196236217,-7.852921235901704,-41.0
31,SUBS126-0353,0,-15.28355988308504,-0.1614648081694224,0.0,1.541874850956947,7.339155917126754,0.0,-1.464618226126051,-8.028612149296805,-38.0
32,SUBS126-0423,0,-12.04563962828834,-0.6803614530050742,0.0,0.862291769525291,4.474867440575781,0.0,-1.26464324473377,-8.653485115925832,-41.0
33,SUBS126-0464,0,-14.5311353126137,0.0024209354096421,0.0,1.717984273046568,5.183574103093633,0.0,-0.4123679583394157,-8.039523959403596,-38.0
34,SUBS126-0280,0,-15.0027183178463,-0.2141467438786299,0.0,3.863080958511,4.540724975077046,0.0,-1.11111148387375,-7.924170612010585,-40.0
35,SUBS126-0603,0,-12.28705074565405,-0.4063207530984709,0.0,2.044173814480928,4.00647460462942,0.0,-1.468279213032101,-8.111002292674584,-39.0
